,ratings,reviews
93,4,"  This camera is very good for beginners.  U can go with 1500 or 3000d . But the picture quality  and video quality in 1500d is not that mark . Its auto fuces is too bad . If I r vlogger and have less bought pls get your self better mobile , this camera is not for videos. It record videos at 1080p 30 fps . 720p 50 fps . Video samples  are quit good and above average.  Go with prime lens 18 55mm lens for boke or blue background for u r photos and videos quit better then 3000d . I got this camera 20990 Rs ( sbi debit card 10% off offer )only in great Indian sale"
94,5,"  After gaining a bit of knowledge of Manual control and AV, TV modes, I am very satisfied with the camera. Highly recommended for beginners searching for entry level DSLRs."
95,5,"  I received the product on 4.10.2019. When I tried to register the product with the website of canon to get extended warranty, it is revealed that the product has already been registered on 13.06.2019. So, the warranty would expire on 12.6.2021. It is also revealed that the supplier's name is incorrect, when I entered the details of the supplier on the website of canon, which is the same as shown in the invoice. To net result is that the warranty is reduced by two and a half months. I have reason to believe that it is a used product. The vendor is expected to you answer my doubts"
96,3,"  I want to rerurn this. Internal mic quality is not good and this is not supporting for external mic also when i used 3.5 mm to 2.5 mm converterBeing a youtuber, No point of having a camera in which i can not record my voicesAmazon team us telling me to contact the seller.. to return"
97,1,  This bad camera also it is not supported with triggers and extra flash his given point is not compatible with other brands for beginners if he buy only cannon flash and trigger very costly and photo quality also bad my I phone quality is much more better then this dslr useless camera don’t waste your money I already wasted
98,5,  A budget friendly Camera for beginners.📸I bought this for 19k💰It's doesn't disappointing me😊A Great Camera for learning photography.👨‍🏫You want to learn photography then go for it.Great Picture Quality at this price range🖼
99,5,  I am a beginner. i loved the settings its easy to lean ISO and AF Settings. And i got 55 250 MM lens free with this and teh focus for that lens is awesome.. Also Stability is great. While clicking portrait pics its coming so good. Better then Iphone XR.Just one thing it makes too much sound thats it otherwise its worth buying....
100,5,"  As expected, the entry level DSLR is best for beginners. Its easy to operate. I got 18-55 lense which is good for all except zoom, only 3x. However, you have to buy a zoom lens for that purpose. Battery is also good. It lasts the whole day with continuous shooting."
101,5,"  This Camera is the King of Budget segment Cameras.This camera gives you excellent results only if you know how to use a dslr.The 55-250 lens is more reliable than 18-55.To reduce the focusing noise use stm or usm lens.Build quality is mind blowing..Used the camera for 1 year and is extremely Satisfied.Best camera for beginners and for others you can use this as a secondary camera.Battery life is decent.For New users who are not excellent in manual mode can approach youtube and learn the basics.Other modes are not useful.Use Av,Tv,M modes for photography.Video quality is poor as this is not a video camera.The Wifi Feature is handy and makes transfering of images quick.50mm Lens suits excellent for the camera.You can check my insta handle for images captured using this camera  mr.panicker__Negative:Low light photography is not impressiveProduces grains at high iso 6400"
102,5,  It's my first time DSLR very nice product.i really like it .I also inquiry before purchasing it canonn 1500d . I found Nikon 3500 vs to canonn 1500d . really it's very nice . but Amazon company delivery person very bad.he didn't delivery my mention My attitude is dependent upon the way u treat me..i will take my product another person talk with him.amazone company should be look into this matter
103,2,  The audio recording is terrible. The picture quality is not that great. Not worth it..Go for a better product
104,5,"  Main drawback is that, It does not have 3.5 mm jack for recording audio... A connector to connect its mini usb port to 3.5 mm jack should be in its accessories"
105,5,"  It is my 1st DSLR camera, and its performance is satisfactory. Its has been 2 years already since I bought it, but I must say this camera is amazing, its picture quality is very good,  easy to use, for beginners as well. I like it."
106,1,  Have not received memory card
107,5,"  One of the best camera 📸 i ever purchased.It was so reasonable price.Coming to the performance of the camera i could give 99/100 . To get more fabulous pictures you need to buy Lenses seperately.For Portrait shorts: 50mm LensFor Wildlife Photography: 75-250mm or 75-300mm is the best.Eventually all i would say that, Love this Canon 1500d Camera 📸❣️"
108,1,  Cannot attach flashgun
109,5,  Ok but not useful with basic lens provided with it...pictures are look like you are taken with mobile camera ...pic you are thinking of to taken with dslr are only comes with higher lenses you used ...either you go for 50-250 or 70-300 but basic lens 15-55 are useless.
110,1,  We have received the defective piece and it was not getting charged.... Even there is no return for it.. just a replacement on which  we dont have any trust how it would be... and more over they have shown a deal of 3000 rs less now and i want it for newer price as product was defective and want a newer one..for which the amazon customer care said that he cannot do anything...
111,2,"  DO NOT BUYCanon has tried to create monopoly through this model. Hot shoe has been changed so now only canon flash lights will  work with this model i.e. Canon eos 1500d.They have NOT even mentioned this anywhere on amazon or on their website, not even the dealers of canon know this new development.The LCD screen could have been given a flap covering which was in previous models."
112,5,"  Perfect to capture every special moments of your life..No need of expertise, camera adjust itself to capure best photos.. picture quality is awesome..battery works for 3-4hrs after fully charged. wifi function is very useful to download photos in your mobile. overall performance ia good.."
113,5,"  Some people believe that online shopping is not safe for digital items .but it's not true .I have been buying products from Amazon for 3 years. I didn't receive any of the item as damaged.It was a very big decision of mine to buy an item of heavy amount through online shopping, I was thinking that it would come damaged or broken but after receiving it I will say that it is best for normal people who use to click photos everywhere they travel as Nikon is good for the photographers .I will recommend the viewers of the product to surely buy this .👍"
114,5,  We purchased it for a gift. It really was a great deal. The best part is that it was liked by the person whom we gifted. He actually enjoys it now. The photos are sharp and usability is good.  Great product and good quality by Amazon.
115,2,"  I have been using this camera for the last 4 months, since I am a beginner I couldn't understand it properly and couldn't understand the quality of the photo, but I showed it to some pro people they said that photo sharpness is not good and blur is there in the photo I don't understand what to do nowNow again I have to show it in the service center"
116,3,"  Very bad experience of service , 45 days for after service delivery, if got the camera after 45 days for I have travel for 150 km , the camera have hanging problem from the month of perchse"
117,5,  Amazing picture quality even with the kit lense..colors are very much natural...for beginner its a very nice camera.. light weight...i wish this could have rotating LCD viewer screen but thats not an big issue..
118,4,  Best for beginners and if you are buying this for vlogging purposes i will not recommend it because it is very hard to handle without a gimbal or tripod.Picture quality is superb and video quality is good.Battery capacity is very good comparing to other models of canon.Auto focus is fine and inbuilt flash is superb.Wifi and nfc are Woking fast and no lag at all.I recommend this for professional videographers and YouTubers the most.
119,4,"  Nikon 3400 is better than 3500 so don't buy nikon 3500.But i choose canon 1500 because wifi , camera app, You definitely need extra lens. 50mm is good because i though kit lens is ok for me but believe me  you definitely need extra lens. Zoom lens is not you need so don't buy with combo lens. Go for 50 mm lens. Now one more thing"
120,4,  This Camera is worth the money but the Focus is slow and one very bad about this camera is that it doesn't have 3.5mm external mic port connection other wise picture quality with prime lens and zoom lens is awesome.
121,5,"  Good camera, but no external mic port.. if you want a camera with external voice recorder please select some other one. Without knowing this I had purchased this, even the same day return also not possible with Amazon. But camera is awesome, try to purchase with combo lense otherwise lense cost will be more."
122,2,  Not good for beginners as well as professional users. price is too high for the picture quality that this camera gives. Nikon 3500D gives great photos with blur in the background and is also best in this price range.
123,4,  Probably the Camera is Good for Beginners and Budget Price. The main problem is we can't insert microphone in the camera. Otherwise the camera is really good for the price. I have used this camera past 7 months
124,5,  This is my first CAMERA and its perfect DSL for beginners. Picture quality is awesome. Auto focus is amazing. Still in learning phase but so far I like this product very much. Soon will purchase another lens beyond 50+Lastly again before time delivery from Amazon.
125,5,"  Amazing camera. Got it in 27k with 18-55 and 55-250 lens in great india sale. Easy to handle all functions and picture quality is awsum. Easy to adjust aperture, shutter speed and ISO in manual setting. Auto setting works well. Light weight. Very good start for beginers. Go for it."
126,5,"  Very clear, loud and sharp picture. But everything depends on photographer. Very robust but light weight DSLR. You can easily carry it over a long time. A complete DSLR at a reasonable price with reputed Brand."
127,3,  I need an invoice for registering warranty! I did not recieve any invoice with the product!And the invoice button on app is not opening any invoice!
128,3,"  Product doesn't contain Memory Card and Camera carrying bag. This is not fare. Earlier review comments, I saw it was included in same package. This is very bad about this product."
129,4,  It's a great camera for biggnier. Only drawback no option for connecting external mic.
130,4,"  As a beginner in photography myself, i was suggested to buy this product by a photographer friend of mine. So far, good to practice your skills on, but definitely would suggest to move on to other better options quickly.It comes with a kit lense and a kit bag to hold the camera body, lense and batterycharger, but the holding loop of the bag got torn off on the second day !!!... That was a bit dissapointing."
131,5,  Good cameraStarted loving it and i could able to use the cam as a proAutofocus is so bad on kitlens i don't know is it same on other lensNight snaps are average and if you gys can use on manual mode you will get awesome results if it's on auto night photography is little bit badOverall it's a perfect choice for beginnersNot recommended video shooting on auto focus
132,5,"  Initially I was looking for Nikon DSLR, but went with Canon 1500D. I must say that I have made the right choice as it works like a charm, looks good and built quality is very good. Best entry level DSLR."
133,4,  Very good camera but canon is simply loosing its credebility but making silly changes in the camera to restrict this camera for professional use .This camera is not suitable for studio photography as canon has removed the the universal pin from the camera hotshoe ..Shame on canon ...
134,1,  Have received used item (item has already registered in canon website 2 months before I purchased.. have shared all proofs to amazon team) but customer care people suggesting me to contact manufacturer.. such a worest response have received.. Amazon team took time to respond mean time my return window period also completed..
135,1,  I got a useful product..it was z shock to me. And amazon..asking me to run around to get denial service letter from cannon. Very irresponsible behaviour from the buyer.
136,4,  It's worth only less than 25 k especially without camera bag/ other accessories. But some how it seems to be over priced for some reason
137,3,  Camera image quality is good. However there's one major disadvantage about canon product is unlike Nikon it only support own brand accessories like external flash which is wayyyy tooooo costly. (~12k). For beginner use it can work good but only in daylight.
138,3,"  Best camera for photography, but its not good if you wanna shoot video B'cqz auto focus not working as well as during video shoot!I had suggest you to buy a prime lens for batter portraits and low light photos!@nofeel_shaikh"
139,5,"  This is a very suitable, easy to handle DSLR camera for people who want to start out with digital photography. I was able to operate this camera very easily after learning different functionalities by watching several videos online. Strongly recommended for people with no or very little exposure to DSLR. One can always choose to buy a better lens later if they feel like upgrading the quality of the pictures."
140,1,  Very MC Product Bill is not available on this Box 😡 and memory card and battery and 55-250mm lens both are not available on this product ☹️ 😒 DON'T BUY AMAZON IS FROD
141,5,"  I'm very excited to get soon ,as I expected I received soon,TNX to Amazon fr fast n safe delivery , Amazon is most trusted fr safe n geniune products 😍🥰😘"
142,4,  Enjoying with it. Easy to operate.  But you have fixed ISOs. Not working with camera connect app on my Samsung phone.  If you neglect this than it is good for beginners. Four stars.
143,4,  Best for Beginners - Nice picture quality
144,5,"  Amazing build quality. Best camera for beginners and also for mediocre users. I belive anyone who knows basic rules of photography should buy this, you will have an amazing time with this camera, the canon mobile app also helps with the remote capture. Autofocus could have been better for subject which are really close but never the less its the best entry level camera in the world"
145,5,  The Canon 1500D is an excellent package for begineers. The controls are amazing and easy to use. The images are crisp and clear. The autofocus is also great.The only con i noticed in this product is that when we are in screen display mode for capturing images the auto focus take a lot of time to focus on the subject.Otherwise overallthe product is worth every penny.Thanks to Amazon for ontime delivery and great package.
146,5,"  Excellent product/build quality under budget price, excellent picture quality, best choice for upgrading lower priced lenses (canon 50mm).flipscreen and headphone jack for recording audio is missing."
147,1,  Its not at all user friendly. For every click you need to set the lense .Pics get blurred. There is no one to help or support.Helpline no is not responding. I tried to register the product but couldnt do till date.Canon has third class products and services
148,5,"  Budget DSLR. Photo qualities of flowers are awesome. But normal photography is average equivalent to good quality images of photo captured from most of the mobile phone except pixels.Clearity is good which can't be available in most of the image captured from mobile ..there is no in built image effect. So image u will get will be original.So it can be tried. But if u have budget,I will guggest better to go for higher version ."
149,5,  Am using DSLR for the first time.I can able to use the camera with ease and can change the option without complexity.Picture quality is quite good for the price range.If you are newbie in photography this better suits you.All the best!.
150,5,"  It is best for daylight shoots not perfect for night shoots........... It is used for the beginner because I am also a beginner....With modeling, you pose. You want to look your best all the time. With acting, you have to be aware of the camera, but the more you show your imperfections, the better you're going to be."
151,5,"  Hey there, I am just a beginner so not going to deep. Definetly as a beginner I feel very comfartable using this camera. Autofocus is enough if you are not shooting moving pictures.If you use in manual mode and keep the perfect settings you will get the best result. For the price this is the best you can expect. And as I said I am a beginner and learning photography. So if I pointed anything wrong please apologize."
152,5,  Best camera for beginners and short film makers. Camera is very well packed and it looks awesome. The user manual is very useful for first time buying people. Zoom lens is awesome. And the carrying bag is also very good. I really liked the product and it give me a better experience. Thank you canon and also Amazon 🙏
153,4,"  Bought this camera for about 23000.The camera was packed pretty well.The camera is really good for beginners.Some people say the kit lens is bad but I feel you can get some pretty decent shots once you learn how to use it.The auto focus is not that good so I recommend you use the manual focus,just to get your perfect shot.one of the reasons I bought this camera is because of the wifi function.It works really well and it is convenient ."
154,1,"  I ordered Canon EOS 1500D from Amazon and guess what, there is a missing Camera bag and merory card in the box. And box was sealed properly when I got in my hand"
155,5,  Great product and great service by the seller. The seller has helped me out to resolve a glitch I had and I am really grateful to him. The seller followed up and made sure that I had a good experience with the transaction I made with him
156,5,  Too good picture quality. For beginners it is so good. If u want to purchase a digi cam and don't want much money ot be invest you can go for it.
157,5,  I use it mainly for print photography and it is very easy to use and captures very accurate images. I am more than happy with the purchase and at current price it is excellent value for money.
158,5,  Nice camera for dslr beginner's
159,5,  I was waiting for this one.. Since a long time.. When the 1200D model was popular.. Then 1300D.. But i waited too long to own this camera.. Finally i got 1500D by amazon with a great offer @28k.. U ll get 2 lenses and a carry case and all that u want.. U can simple start photography..
160,4,  The camera is great for beginners who have just stated to learn but the features are slightly complex for understanding. If you have ever used a Nikon camera..I would suggest you buy Nikon because the transition can be little uneasy. But the camera in itself is very good. I have used this camera in limited scenarios but experienced so far is great.
161,5,"  Pros-Best for beginners. Best deal worth 19,950 with EF-S 18-55 lense+ focal earphones worth 1999 MRP with this deal.Cons- it support onlt Cannon external flash which is a costly product. Other cameras supports other make flashes  starting ₹2500"
162,5,  Go for it if u get a good dealPros1 cannon best lenses support2 WiFi connectivity for sharing3 ease of useCons1 not as user friendly as 34/3500 D2 bulky
163,5,  It's a good night have to choose for beginners and it is very nice use package was very safe and because of a good 19 impact it was late delivery. Camera is very useful to beginners like me. And well set about the building quality quality is very nice CE and pretty good to view good to see that also. The image taken by the camera is very clear and it is a budget camera for beginners
164,5,  This is a great camera for not only beginners but also amateur photographers. Often what matters is how well you know your camera and since this is a user-friendly camera it is worth considering!
165,1,  I recently bought this camera night mode pics are really coming blurr and shaky.pickels also not clear only in night mode.pls help me to find the right mode or replace this one because I think it's a problem. After my purchase price went down to 21000 which is highly disappointing
166,5,  very nice dslr camera with good quality picfures and very good video quality. i recomend everyone to buy this dslr camera.
167,1,  Only used photosgraphyNot for record video autofocus vary badNo 9 point autofocus only 1 autofocus point
168,4,"  This is the best Camera for Beginners. You can learn Manual Mode easily, UI is good and user friendly. Search for videos on YouTube to get best out of it."
169,5,  The best DSLR at the starting price range. It has just the right amount of settings for beginners to learn the perks of a DSLR. The video and snaps quality is also too good.
170,1,"  Highly disappointed with the problems I'm facing with the camera, the flash of the camera stops working and start showing error 50. Restarted many times but the problem remained same."
171,5,  My first DSLR loving it....  but don't underestimate this camera it gonna wow you if used correct lens
172,5,"  Good camera. Very easy to handle for a beginner. With a good lens, it would juz do wonders for the price range. I have used basic Nikon also, but never felt this easy."
173,5,  It's my DREAM CAMERA. I love it. I feel fantasy with it. I like it very very. It's my precious purchase. No word for this product. I feel high level thrill really I can not explain for it's quality.thanks.
174,5,  I purchased at 15300 rs it's very useful camera go for it at this price
175,5,"  Well i found the product authentic after buying it from amazon, entry level 📷, for photography enthusiasts good product for starters. I bought the camera in very reasonable price (great India shopping)."
176,1,  I got defective lens and no buddy is helping me
177,5,  Best dslr camera manufactured by Cannon for begginers... EOS 1500D...using it for 2 years no issue till date...
178,4,"  There is no invoice for the Canon Camera , either with the box or under My Orders in Amazon App. So I cannot warranty for product - how can I buy electronics from Amazon ?"
179,4,"  It's more suitable DSLR camera for beginners. It's got great auto focus and couple of modes for varied kind of shots. Also it has benefit of wireless picture snapping via NFC/Mobile app, which can also live view the picture taken and transfer the pictures/videos on the go."
180,5,  Great DsLR for beginners !
181,2,"  No digital memory card with the purchase, even thou it was enlisted. Too costly."
182,5,"  This is perfect for a beginner. Very affordable, handy,amazing picture clarity. Got charger, sd card and carry bag free with the camera."
183,4,  Good product to start your hobby or to explore your photography skills in style loaded with cool features.Got it during sale and value for money.
184,1,"  Out of my experience, Felt like OnePlus phone camera is better than this DSLR.Waste of money . We have kept this dslr in a corner of my home"
185,5,"  Very good for beginnersAutofocus is not very good as it has only 9 af pointsThe screen is also not moveableCompact and user friendlyLightweightThe raw file is in CR2 format which is not easy to open and edit in simple softwareNikon D5600 is also in the same line you can buy but has less megapixel, but high af points and moveable screen"
186,3,  If you are going with this camera then fine but you can't use third party additional flash light you have to bought canon flash which is costing more than 20000 so I prefer if you want to use it with additional so don't buy it otherwise for normal purpose at-home it is fine
187,5,"  I received the product in very good condition and the product is excellent for beginners. If you know the use of different lens, the camera is awesome. If the the lens cost are bi lower side, we may buy different lens to explore more.One can buy this product form Amazon as I have purchased many products which I have received in good condition.All the best"
188,5,                    The media could not be loaded.                   64 GB memory card is missing.
189,5,"  Who want learn photo shoot, YouTube video shooting, very useful and low price camera, good branded model and company product.. thank you Amazon"
190,4,"                    The media could not be loaded.                   Not Bad Not Good Just Avarage For 23,999 price single kit lence. But Light weight and Good."
191,4,  This is a very good product for beginners at this price. I got this for 22k in amazon when there was a one day deal. It is so far so good. Excellent product if would just like to use it for small family parties and gatherings.
192,5,"  Perfect for beginners. I would advise it, got lucky during the sale. Got a good bargain deal on the camera and 1 lense. bag + 16 gig memory card. Product is friendly to use and easy to maintain."
193,5,  Amazing product. I get appreciation for every picture I take and all of it should go to the camera. Beginners like me can use this with absolute ease. Photo transfer to photo or laptop is made so simple that it can happen in few minutes... Excellent product.
194,5,  It's easy to know about all setting... I also don't know about photography and how to use camera but still in 4 to 5 days i learn mainly every thing from this camera... It's very helpful for beginners and their autofocus or picture quality was so nice.... But some time in manual mode it create more time to click a picture.
195,5,  The package reached me safe with good packing. It is an original product. It came with bill and warranty card.. Nice product.. A very good camera in this price range for beginners. The picture quality is fine. If this is your first DSLR you can blindly choose this.
196,5,  This camera named canon 1500D I bought from amazon is completely a basic level camera. It has overall every features a beginner needs and 2ndly it has guide with it which is very much helpful for beginners in every steps .
197,4,  I brought this camera without telephoto lens because I believe I won't click nature portraits. I believr buying canon 50mm lens will do magic. Using aperture priority mode now and learning to use. Will post review after a month.
198,5,"  Basic DSLR, You can learn all the tricks with this...Quality is so good. Auto Focus and other things are also good.."
199,5,  Just best in class..Can't compare this one from others.A must buy for beginners.Obviously better than 1300d.
200,5,"  As a beginner I really liked this camera, I used Nikon 3300 before, but this one is simple awesome. Got it in  a deal and delivery was just outstanding received in <24 hrs without prime."
201,5,  Picture quality is too good... Being an amateur i like how easy it is to use... Still a lot to learn... Battery life is good as well... Charge once to the fullest and came back from a three day trip to shillong... And it is still going on
202,5,"  Perfect beginner level dslr, met its pixel quality. I have used it for an year now and its the best if you are new to dslr's. Good battery, best lens and top camera. The body's is a bit heavy,but best at this price."
203,2,"  Auto focus of camera is pathetic, image quality is quite good but object finder doesn't work well,better to buy canon 200d, no external audio recording option."
204,5,"  If you are a beginner go for it .The auto focus is just fine, speaking about picture quality the 24 mp works fine even in low light"
205,4,  Really good DSLR for beginnersOnly downside is the Canon app which doesn't help in transferring videos wirelessly
206,1,"  I recived product on time, but when I opened packege was not intact . Seal was broken of camera box.This should not expected from Big Brand like Amazon.This happened second time with me."
207,5,  First dslr.. Extremely happy with the purchase...! Cheap and best...! Got it at 19k in an offer..!
208,5,"  The camera is perfect for an amateur photographer. The auto focusing is smooth and of quality. The body is lite as well which helps in taking quality pictures. The controls are a bit confusing, especially the menu. However, an enthusiastic person will be able to figure the controls out pretty easily. All in all, it's a fabulous product"
209,5,"  Good camera for beginners, picture and video quality is good ,  I am using it for making  youtube videos. Very good product at this low cost."
210,5,  Everything is Good But You should buy without any lens and get the new model STM Lens which has Digital Focus..Avoid IS ii Lens which comes with these model..Autofocus missed in Videomode..so it's not suitable for Gimbels
211,5,  Excellent camera for beginner and very handy during our Australia tour
212,4,"  HelloThis camera is v good for beginners and lots to learn to shoot at first sight and picture quality is at satisfaction level, not bad at all.For anyone to Buy decent DSLR at low price with quite good spec and good pictures to focus on ,consider to be one of your choice ."
213,5,"  best priced DSLR in while lot. go for it. tough i am not much into photography and bought this for personal use only, its very compatible for all kind of photography as far as i know. 5 star for pricing."
214,5,  It looks like higher end dslr feels good in hands and i love canon. Picture quality is very good more then my expectation. In low light also it performs well i like canon 1500d 😍.
215,1,  Picture quality is not good my mobile Camera pics are much better than photos taken from this camera
216,4,  Amazing Photos for beginners photography.Nice features.Light weight.1300D is also a Good Option.
217,5,  The product received was sealed and brand new. Also received it before time. Thanks to Amazon for price and delivery.
218,3,                    The media could not be loaded.                
219,2,  Better Add Some money and buy Canon 200D or make videos from your mobile.
220,4,  Good:1) autofocus2) battery backup3) operating4) wifi connectivity5) weightBAD:1) picture quality is ok not much good
221,1,  Not Good For Begineers. Not able to autofocus while shooting videos. the picture quality is just okay. Nikon point & sooot camera is better than this.
222,4,"  Product is awesome. Picture Quality is great with 24mp camera.if u want more background blur then uneed to purchase the canon 55m f/1.8  stm lens, connect with this camera and enjoy it."
223,3,  Got in offer at 20k18 - 55 lense and camera body A Focal earphone was also free with this.That was a good deal.
224,1,  Seal was already open and the price of the product drastically decreased in one day after my purchase and one of the lens is not working properly and i am not happy with the seller... Guys don't go for it...... Seller is not genuine... Product seal was already opened....
225,5,"  Being a beginner myself, the camera is an excellent option for those who are just stepping into the creative art of photography as it can give them all the tools needed to harness their skills."
226,4,  In time and safe delivery by amazonGood camera by canon for beginersThe auto focus works very goodOverall 4 stars can be given for this
227,5,  awesome camera in this price range
228,4,"  To start with...came in good packaging, it’s Digital slr camera, brownie points to the technology, wifi, lithium batteries. It’s good for beginners, easy to handle."
229,4,  It's good if you never used a nikon camera... Especially the lens is not upto the standard of nikon.. The wifi connectivity is really good
230,4,  Easy to capture. Easy to carry. Less expertise needed.
231,4,  Got it at only rs18990. Camera is very good with some minor flaws.ProsExcellent picture quality. ( It depends on the person Using it). First learn to use its settings.Easy transfer through wifi.Good build quality.Cons :Autofocus is slow.Lowlight images are not upto the mark.Not suitable for video.
232,1,  No memory card no  carry bag no internal memory
233,5,"  Easy to use, good grip. Good choice for beginners."
234,4,"  This camera is good but lens is good,Just okNot value for money..."
235,5,"  Unbelievable picture quality for the price, just become familiar with the camera once you are set you might have to adjust shutter speeds for low light but all in all great for beginners, but if you are getting it for blogging or YouTube spend 12k extra and get 200d it will be more apt for you and it also has dual pixel auto focus for fast moving objects"
236,4,  This camera is great for beginners. The default lens is good for initial practice but this camera will work best with lens having focalength greater than 50 mm. Overall nice product to begin with in the field of photography.
237,5,  Attached snapshots taken from Canon 1500D
238,4,  Just don't expect very fast af from this one (which I did). The camera is a good one but the lenses make some noise while autofocusing and sometimes you'd prefer to use the manual focus. This 1500d is absolutely not for shooting videos. Picture quality is average. I bought it with the 50mm and it's okay. Anyways it's gud for beginners. Attached some pics I clicked of and a portrait of my friend.
239,5,  Nice one😎  canon 1300 d and 1500d are the best cameras for beginners available now at market. Compared to Sony and Nikon it’s simple and not much confusing (for beginners )
240,5,  It was delivered on time and the packing was great. Easy to use as well.
241,5,  This is my first DSLR camera and I am enjoying so far.Good for beginners !Picture quality so natural colors and sharing canon app with mobile is very good
242,5,  i am no professional and this was the first time for me owning a DSLR. Packaging was good and delivery was good too
243,1,  How can u send a product which is already registered 6 months back? How can someone register without opening the product. This means it's used waste product right
244,5,"  I tried this product with the normal lens.its good for the beginners, loving photography.good product.valye for the money .Easy to use."
245,5,"  Very nice camera, good for beginners.Useful for in-house, nature, functions, and spare time photography. Take high quality pics, videos , portrait, landscape wildlife, nature pics etc Good Product who are really have passion for photography"
246,5,  What a Briliant camera it is😎😎.. Thanks to canon and amazon to bring this camera at a very good price.... Surprising camera ouput..... Thank you AMAZON....
247,4,"  no camera bag, no memory cardit came with default 18-55 lens and shoots the okay images with kit lens.paired it with 50mm prime lens to get better results"
248,3,  This is exclusively for beginners. Pictures are clear on the day light compares to indoor pics. This is not at all recommended for nature photographers.
249,5,"  Excellent Camera with Auto Focus. Easy to shoot pictures with no efforts. A quality camera for Beginners. Wait for Great India Festival, You will get massive discounts."
250,5,  Nice product for beginners.
251,5,"  Very good quality photos getting from 24.1px, really good start for beginners. Easy to handle, wifi is advantages. Price is little bit high."
252,1,  Required Software Development kit for this not provided Cameras are useless for me without SDK.Pls provide
253,5,  Good for learning photography. Go through the online video tutorials for photography. Canon settings are minimal and easy to understand the basic concepts of photography. Most professional photographers use Canon. Canon 1500D will be the top notch for entry level DSLR.
254,4,  Auto mode is really nice except for flash but I bought it for 24k so in this price just go for it
255,5,  I think this is best product for beginners. Great shoot captured yet. Some samples attached. For further shoots u can follow me on Instagram © IamHemantSoni
256,5,  Loving it. Really a great buy at this price point. Brought a 50mm canon which is giving awesome results. Really a great product for the begginers. Its really easy to use. Satisfactory for low light photography.
257,2,  I had bought this canon eos 1500d dslr during sale and got it for around 27000 and was quite happy till i got the package which only include th camera and lens18-55mm and no memory card and no carry bag
258,5,  Thanks to Amazon prime. I got it delivered next day. Packing was awesome. I am learning to use the camera. Tried some feature. Picture quality is good. May be I need to go for some lens. But what ever I received is good.
259,5,"  For a beginner, the camera is great. The additional lens is also very good.The bag is not that great, but good enough for basic use.Thanks for the bag."
260,1,  Don't buy any item from Amazon.It's is fraud. I receive short item. They have no solution for that. Bill amount not match with my order in bill invoice. Over DSLR camera is good.
261,5,  Best camera For Dental photography
262,5,  Very nice Camera for beginers Photography its not good for videography because auto focus is very low. But according to the price range it's very good. I recomend begeinners for Photography. It's such a wounderful camera with Low Price!
263,5,  MeritsGood picture quality.Best price.Easy to click still photos.Easy to gandle and share pictures.DemeritsNot suitable for shooting instant videos.Heavy . You look like a photographer when u keep it.
264,5,  this is my first dslr and im very happy for having it.it comes with enough features which every beginner needs.but 1 thing to  dislike is  it does not support any local external flash gun...like sonia digitek..godox.........only canon's original flashgun works with it. which is worth 16k....
265,5,"  Excellent for beginners, better than competitor brand interms of User friendly interface. Sharing picture via wifi makes it too handy"
266,4,  All things are good except the data cable which is not present in the box. Seller need to mention all accessories list in the bill.
267,4,"  I bought this camera yesterday for a great deal, I received perfect brand new camera with all the accessories. Judging by thousands of positive reviews here and from YouTube vloggers I think this is one of the best entry level dslr for beginner like me. Thank you amazon"
268,2,  For long distance it doesn't work
269,5,  Best and budged DSLR for the beginners. I like it's Autofocus and portrait mode.
270,3,"  I didn't got camera beg & memory card, very big disappointment for 36k"
271,4,"  For BeginnersBudget friendly camera, only for photography not for videography."
272,1,  Very bad not purchase through Amazon. Memory card not with this camera.
273,5,  One of the best  at this price
274,5,"  It is a thoroughly impressive camera. Its high-res 24.1MP sensor captures images with incredible detail. With swift burst shooting, top-notch high ISO performance, fast AF, Real-Time Eye AF tracking.. best for beginner.."
275,3,  This product supplied by krishna infotech is not up to the mark and not worth the value for money paid. The battery of the product gets heated very quickly even after very less use.
276,5,                    The media could not be loaded.                   Great experience
277,4,  Good to bigginers learn 👌
278,5,  Autofocus of kit lens isn't enough for Macro photography.However the performance is awsome if one is well versed with Manual settings
279,2,  Products is not good I take better pictures form my mobile camera camper to this stupid stuff
280,5,  It’s always feels great when I hold canon camera in hands..!! Really having a good time spending in snapping my favourites.. it’s been a month after purchasing this little champ.. feels awesome 📷
281,2,"  I purchased an Amazon camera four days ago. When I unlocked it, I found that the camera bundle didn't include the memory card. I have no idea where to complain. Feel like this is cheating!"
282,3,"  Superb camera for beginners, all I noted is noise in the images whatever the setting are, there is always a considerable amount of noise."
283,5,  Great camera for beginners to begin with!! Self explanatory features and also helps in understanding various modes!!! A true beginner's camera 😍
284,5,  Nice camera with good pictures quality. Easy to use for beginner's.
285,4,  Excellent productImages are sharp and clearBest for beginnersClick nice photos even in low lightOnly conc. Is that it doesn’t have autofocus in Video mode
286,3,  In description box content is Written 6 but I only got 5 - camera body - 18-55 lena - battery - charger - charger cabelOne item is missing i.e sd card
287,4,  Well I'm satisfied with this product.but it takes more time in auto focus.very suits good for the beginners.i won't recommend for professionals.but with the kit lens u will be disappointed.so for sure buy 55-250 lens.
288,5,  Good camera . Have good picture quality . Best photo experience
